,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
114,PRME,100.0,22.43,6,35.0,67,0,Biotechnology,Healthcare,0.732,6.1,0.224,0.171,3.85
115,MSEX,83.33,3.86,48,41.5,73,0,Utilities - Regulated Water,Utilities,0.872,48.93,0.032,1.157,3.72
116,NTLA,77.78,17.38,9,32.67,81,0,Biotechnology,Healthcare,2.431,25.3,0.135,0.275,3.72
117,JACK,57.58,10.55,33,55.91,86,0,Restaurants,Consumer Cyclical,1.183,60.56,0.061,0.59,3.59
118,KNSA,100.0,27.26,3,23.0,231,0,Biotechnology,Healthcare,1.248,17.68,0.273,0.13,3.56
119,WSC,100.0,28.78,6,48.83,967,0,Rental & Leasing Services,Industrials,8.287,43.62,0.288,0.123,3.54
120,TRC,73.68,4.6,57,55.07,1302,0,Conglomerates,Industrials,0.408,15.22,0.034,1.035,3.51
121,KO,81.63,3.29,49,37.82,91,0,Beverages - Non-Alcoholic,Consumer Defensive,255.524,59.27,0.027,1.296,3.48
122,LW,100.0,16.4,9,42.67,91,0,Packaged Foods,Consumer Defensive,11.232,77.8,0.164,0.211,3.46
123,NRC,100.0,17.8,6,31.0,441,0,Health Information Services,Healthcare,0.889,37.27,0.178,0.194,3.45
124,ALGT,83.33,9.48,18,41.17,77,0,Airlines,Industrials,1.203,65.8,0.079,0.437,3.45
125,DOMO,60.0,21.38,15,56.4,83,0,Software - Application,Technology,0.322,8.8,0.128,0.266,3.41
126,ADPT,90.0,18.17,10,48.4,67,0,Biotechnology,Healthcare,0.411,2.83,0.164,0.207,3.38
127,NFE,100.0,23.98,6,43.0,616,0,Utilities - Regulated Gas,Utilities,6.028,29.4,0.24,0.14,3.35
128,HAIN,75.76,7.21,33,54.03,102,0,Packaged Foods,Consumer Defensive,0.603,6.71,0.055,0.611,3.34
129,URGN,60.0,14.83,15,40.33,82,0,Biotechnology,Healthcare,0.451,13.21,0.089,0.372,3.31
130,ALTI,100.0,47.19,3,43.0,182,0,Asset Management,Financial Services,0.582,4.88,0.472,0.07,3.29
131,CQP,77.78,10.14,18,44.17,991,0,Oil & Gas Midstream,Energy,23.186,47.9,0.079,0.408,3.21
132,FL,53.66,4.56,82,62.95,118,0,Apparel Retail,Consumer Cyclical,2.253,23.84,0.024,1.303,3.19
133,BIGC,100.0,36.87,3,35.0,303,0,Software - Application,Technology,0.499,6.52,0.369,0.086,3.16
134,REXR,100.0,11.24,8,29.0,341,0,REIT - Industrial,Real Estate,10.854,48.99,0.112,0.276,3.1
135,Z,80.0,12.46,15,48.67,82,0,Internet Content & Information,Communication Services,11.091,47.7,0.1,0.308,3.07
136,RLAY,100.0,40.89,3,40.0,78,0,Biotechnology,Healthcare,0.943,7.19,0.409,0.075,3.07
