,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
402,SIX,66.67,5.45,12,37.25,426,0,Leisure,Consumer Cyclical,1.983,23.53,0.036,0.322,1.17
403,DK,46.15,6.07,26,62.31,859,0,Oil & Gas Refining & Marketing,Energy,1.712,26.74,0.028,0.417,1.17
404,DBRG,53.33,9.68,15,66.8,355,0,Real Estate Services,Real Estate,2.452,14.11,0.052,0.225,1.16
405,EIM,70.97,2.26,31,43.58,115,0,Asset Management,Financial Services,0.709,9.96,0.016,0.711,1.14
406,NEOG,56.67,4.05,30,62.43,100,0,Diagnostics & Research,Healthcare,2.653,12.25,0.023,0.481,1.1
407,CG,66.67,6.76,9,37.33,2054,0,Asset Management,Financial Services,14.719,40.97,0.045,0.241,1.09
408,LECO,73.33,5.21,15,52.67,2064,0,Tools & Accessories,Industrials,12.482,219.33,0.038,0.285,1.09
409,AIN,57.78,2.29,45,55.22,998,0,Textile Manufacturing,Consumer Cyclical,2.552,81.71,0.013,0.815,1.08
410,NWSA,100.0,12.94,3,36.0,1376,0,Entertainment,Communication Services,13.676,23.84,0.129,0.083,1.08
411,SGH,60.0,16.35,5,45.4,94,0,Semiconductors,Technology,0.934,18.02,0.098,0.11,1.08
412,ACP,62.07,2.61,29,43.83,101,0,Asset Management,Financial Services,0.341,6.54,0.016,0.662,1.07
413,LUV,65.62,2.44,32,47.91,100,0,Airlines,Industrials,15.362,25.67,0.016,0.668,1.07
414,CMCSA,62.5,3.53,24,49.33,359,0,Telecom Services,Communication Services,149.883,38.2,0.022,0.487,1.07
415,XRAY,67.65,2.28,34,49.03,94,0,Medical Instruments & Supplies,Healthcare,6.266,30.18,0.015,0.693,1.07
416,MNRO,75.86,2.6,29,53.52,94,0,Auto Parts,Consumer Cyclical,0.799,26.71,0.02,0.542,1.07
417,GHLD,100.0,11.85,3,34.0,473,0,Mortgage Finance,Financial Services,0.831,13.6,0.118,0.088,1.05
418,SPWR,60.0,3.5,30,60.17,91,0,Solar,Technology,0.365,2.08,0.021,0.499,1.05
419,CRI,61.11,5.13,18,54.67,449,0,Apparel Retail,Consumer Cyclical,2.497,68.41,0.031,0.329,1.03
420,PSA,81.25,1.94,32,48.75,99,0,REIT - Industrial,Real Estate,45.841,260.15,0.016,0.656,1.03
421,ADM,80.0,1.29,45,45.0,29,0,Farm Products,Consumer Defensive,28.86,58.37,0.01,1.0,1.03
422,BOOM,52.94,3.38,34,60.15,83,0,Oil & Gas Equipment & Services,Energy,0.314,15.7,0.018,0.565,1.01
423,PAGP,53.33,8.19,15,66.6,578,0,Oil & Gas Midstream,Energy,4.137,17.78,0.044,0.225,0.98
424,GTES,50.0,19.61,6,63.0,982,0,Specialty Industrial Machinery,Industrials,4.293,16.43,0.098,0.095,0.93
425,RMBS,47.22,3.62,36,66.39,1003,0,Semiconductors,Technology,5.727,52.75,0.017,0.542,0.93
426,LYFT,58.33,5.44,12,41.25,435,0,Software - Application,Technology,6.393,15.86,0.032,0.291,0.92
427,BJRI,62.07,2.76,29,54.62,115,0,Restaurants,Consumer Cyclical,0.75,32.09,0.017,0.531,0.91
428,PBF,44.44,6.7,18,58.67,652,0,Oil & Gas Refining & Marketing,Energy,6.219,52.19,0.03,0.307,0.91
429,CLBK,66.67,5.51,9,36.33,115,0,Banks - Regional,Financial Services,1.546,14.73,0.037,0.248,0.91
430,QRTEA,54.17,3.78,24,54.5,108,0,Internet Retail,Consumer Cyclical,0.359,0.84,0.02,0.44,0.9
431,TRNO,100.0,9.65,5,54.8,433,0,REIT - Industrial,Real Estate,5.239,54.28,0.096,0.091,0.88
432,KAI,56.52,3.95,23,61.04,990,0,Specialty Industrial Machinery,Industrials,3.071,261.52,0.022,0.377,0.84
433,EVN,60.0,1.43,40,41.2,111,0,Asset Management,Financial Services,0.39,9.84,0.009,0.971,0.83
434,DOCS,100.0,13.05,3,47.0,114,0,Health Information Services,Healthcare,4.479,24.01,0.13,0.064,0.83
435,CALM,66.67,2.62,24,52.42,1024,0,Farm Products,Consumer Defensive,2.709,55.25,0.017,0.458,0.8
436,MORN,75.0,2.65,12,30.25,256,0,Financial Data & Stock Exchanges,Financial Services,12.283,287.34,0.02,0.397,0.79
437,MGRC,57.14,3.52,21,54.71,979,0,Rental & Leasing Services,Industrials,2.62,106.73,0.02,0.384,0.77
438,VFC,57.14,1.4,49,51.9,189,0,Apparel Manufacturing,Consumer Cyclical,4.736,12.18,0.008,0.944,0.76
439,IMXI,100.0,13.68,3,55.0,117,0,Software - Infrastructure,Technology,0.657,20.05,0.137,0.055,0.75
